frame,initialCondition,method,s,order,nsteps,final_err,l2_err,t_elapsed
lab,basis,controlled_filon,0,2,16,,,6.127791591
lab,basis,controlled_filon,0,2,32,7.011053051073524e8,4.309177950024606e9,11.333593053
lab,basis,controlled_filon,0,2,64,4.4104749855873985e10,2.5963972462170505e11,22.285120472
lab,basis,controlled_filon,0,2,128,7.739001925944155e14,4.537713028651905e15,33.375707289
lab,basis,controlled_filon,0,2,256,7.73907010208765e14,4.537752908399365e15,85.333792232
lab,basis,controlled_filon,0,2,512,5.318750918929557e6,3.1189848174569324e7,172.333475575
lab,basis,controlled_filon,0,2,1024,5298.499939404549,31841.840529814042,334.86792532
lab,basis,controlled_filon,0,2,2048,36.67773460247398,391.67330294478325,637.635002073
lab,basis,controlled_filon,0,2,4096,0.04777771713444499,0.8033280729981951,1271.311912341
lab,basis,controlled_filon,0,2,8192,0.08477626488516614,1.6661058899766716,2288.453468276
lab,basis,controlled_filon,0,2,16384,0.04640163897835382,0.9621042202134369,2866.246948845
lab,basis,controlled_filon,0,2,32768,0.010186640295549955,0.1399951526311698,5445.040613312
lab,basis,controlled_filon,0,2,65536,0.002262203612927428,0.021942326672615406,3041.235300785
lab,basis,controlled_filon,1,4,16,,,10.299988476
lab,basis,controlled_filon,1,4,32,7.476235749592953e6,3.570019765213983e8,18.795749141
lab,basis,controlled_filon,1,4,64,8.892261764064037e16,1.0829712460642761e18,40.035479565
lab,basis,controlled_filon,1,4,128,7.286148984670435e34,4.311890429074216e35,84.635763619
lab,basis,controlled_filon,1,4,256,1.1047788807205155e79,6.477340341564504e79,168.87545575
lab,basis,controlled_filon,1,4,512,1.1670847821648086e280,Inf,329.292201891
lab,basis,controlled_filon,1,4,1024,1.1670847821648086e280,Inf,616.076250528
lab,basis,controlled_filon,1,4,2048,2.2229037759824444e261,Inf,1144.599667639
lab,basis,controlled_filon,1,4,4096,7.940475701412942e32,4.655516546300283e33,2142.33904561
lab,basis,controlled_filon,1,4,8192,3.7518180591153984e20,2.199698319058127e21,3723.547777785
lab,basis,controlled_filon,1,4,16384,0.04368011723452946,0.8197821261912963,5465.759498625
lab,basis,controlled_filon,1,4,32768,0.00021180924987130779,0.0017474104496304542,11676.356970818
lab,basis,controlled_filon,1,4,65536,2.6995712276766593e-6,2.9600704025812628e-5,5103.057000767
lab,basis,controlled_filon,1,4,131072,1.5247524164685894e-7,1.6863328373574382e-6,6537.444974842
lab,basis,controlled_filon,2,6,16,,,17.813722231
lab,basis,controlled_filon,2,6,32,28851.275241382966,5.394930072239443e6,35.621706531
lab,basis,controlled_filon,2,6,64,4.3843591634922625e14,1.473971615894147e16,73.096086938
lab,basis,controlled_filon,2,6,128,8.397266987607201e39,6.665123104817734e40,147.168265251
lab,basis,controlled_filon,2,6,256,1.1891500607962048e78,6.9720709293474965e78,292.460292657
lab,basis,controlled_filon,2,6,512,4.486878254560972e120,2.6306655597002573e121,588.317865167
lab,basis,controlled_filon,2,6,1024,4.486878254560972e120,2.6306655597002573e121,1050.069178459
lab,basis,controlled_filon,2,6,2048,5.339140551648281e25,3.6285745071415256e26,1883.393518219
lab,basis,controlled_filon,2,6,4096,3.4097679861080513e12,2.940510856300476e13,2767.14283237
lab,basis,controlled_filon,2,6,8192,461.3844112131205,2718.4657609678316,5507.674752579
lab,basis,controlled_filon,2,6,16384,0.0028930449664363736,0.026068225682646523,11749.57234338
lab,basis,controlled_filon,2,6,65536,,,10652.802031497
lab,basis,filon,0,2,16,,,2.62365248
lab,basis,filon,0,2,32,2835.4531425262594,42821.68148181478,4.534715935
lab,basis,filon,0,2,64,702.8289713595949,12919.662630746476,8.172798731
lab,basis,filon,0,2,128,151.77272562132302,2686.4607530360377,13.799580653
lab,basis,filon,0,2,256,141.25584823787673,1796.965471344133,37.834332362
lab,basis,filon,0,2,512,102.54670582892005,1564.3448088459209,82.852212016
lab,basis,filon,0,2,1024,13.738162313563697,167.57857528860285,167.077745147
lab,basis,filon,0,2,2048,7.002886314566276,105.67966753292012,115.029801692
lab,basis,filon,0,2,4096,22.505178500252956,190.46452862260844,693.244188984
lab,basis,filon,0,2,8192,13.319197726626284,195.77321936645706,1218.599587228
lab,basis,filon,0,2,16384,6.222045994501017,60.543679336667225,1492.067598021
lab,basis,filon,0,2,32768,0.7260049906010472,7.196907515133918,3098.705634793
lab,basis,filon,0,2,65536,0.07742630304778987,1.0552161625212826,1434.776740623
lab,basis,filon,0,2,131072,0.017173735839489435,0.24504589064466278,1270.815716405
lab,basis,filon,0,2,262144,0.004243050847185526,0.06058095162039737,1738.990264054
lab,basis,filon,1,4,16,,,7.866410724
lab,basis,filon,1,4,32,876468.1468077927,1.0556500705985196e8,14.508408531
lab,basis,filon,1,4,64,2.9536903377015732e7,3.2629812087522864e8,30.638925175
lab,basis,filon,1,4,128,1.2156049060106148e20,8.315127864596821e20,60.114816675
lab,basis,filon,1,4,256,1.3317612128916615e55,7.811827490041419e55,130.633207778
lab,basis,filon,1,4,512,1.0485251397558278e129,6.147523550144038e129,289.444003746
lab,basis,filon,1,4,1024,1.5515162314171729e261,Inf,497.622809028
lab,basis,filon,1,4,2048,1.5515162314171729e261,Inf,240.286252381
lab,basis,filon,1,4,4096,3.0971839862930224e29,1.815885072547693e30,1840.306194497
lab,basis,filon,1,4,8192,9.987349692994235e17,5.855602799860981e18,3278.480532573
lab,basis,filon,1,4,16384,0.2743407703879177,3.9532421595940774,4616.992779536
lab,basis,filon,1,4,32768,0.00429024400598719,0.04516674799460451,9426.771322539
lab,basis,filon,1,4,65536,0.0001547002290675585,0.0020141009880466415,4253.303735406
lab,basis,filon,1,4,131072,9.326185182239899e-6,0.00012174183805761537,4636.545112381
lab,basis,filon,2,6,16,,,19.63630383
lab,basis,filon,2,6,32,2.9448038460817044e14,3.0498213365717925e15,36.823870454
lab,basis,filon,2,6,64,8.222632169323241e22,7.797475203084701e23,17.246069358
lab,basis,filon,2,6,128,1.6077781227805514e37,1.0144205508718731e38,155.927147348
lab,basis,filon,2,6,256,4.6047020405620044e48,2.707404281821687e49,295.398239218
lab,basis,filon,2,6,512,4.604702040569551e48,2.7074042818259105e49,580.419742439
lab,basis,filon,2,6,1024,5.804604983217861e22,3.472345177484914e23,1120.679921792
lab,basis,filon,2,6,2048,5.794049457647682e22,3.46583502845869e23,2038.391892108
lab,basis,filon,2,6,4096,1.2310489537082304e11,1.0265982171939623e12,3661.147836761
lab,basis,filon,2,6,8192,3.2873230572366174,23.002331352448746,5827.83293142
lab,basis,filon,2,6,16384,0.006825800831971594,0.06713442867459939,11286.041581579
