initialCondition,method,s,order,nsteps,final_err,l2_err,t_elapsed
basis,controlled_filon,0,2,16,,,3.644712829
basis,controlled_filon,0,2,32,2.9177802123403813e12,1.712659422315762e13,6.856109207
basis,controlled_filon,0,2,64,2.9004182892057756e14,1.70277205974475e15,13.713914737
basis,controlled_filon,0,2,128,4.845373437340517e20,2.923474845263641e21,27.493240282
basis,controlled_filon,0,2,256,4.8453717703472526e20,2.923473880553555e21,52.59737574
basis,controlled_filon,0,2,512,3.9484151223026183e6,2.3215708235736545e7,99.680968363
basis,controlled_filon,0,2,1024,0.021329424164526878,0.34198595385246455,38.857559983
basis,controlled_filon,0,2,2048,0.0028270390575494543,0.04548949122404097,38.843496353
basis,controlled_filon,0,2,4096,0.0006635055477658084,0.010686218992213718,53.657920243
basis,controlled_filon,0,2,8192,0.00016348832607396074,0.002633664679471536,122.480844849
basis,controlled_filon,0,2,16384,4.0727113564936275e-5,0.0006561157699692234,189.132078504
basis,controlled_filon,0,2,32768,1.0172801661694103e-5,0.0001638862344052412,316.519815191
basis,controlled_filon,0,2,65536,2.542808599775428e-6,4.096578990757051e-5,535.549570979
basis,controlled_filon,0,2,131072,6.35557474178052e-7,1.0237924025182179e-5,892.147545097
basis,controlled_filon,0,2,262144,1.5867542865219359e-7,2.555891535364527e-6,1584.676902544
basis,controlled_filon,1,4,16,,,6.645853304
basis,controlled_filon,1,4,32,5.789287277437377e15,3.5735834354492716e16,13.557416594
basis,controlled_filon,1,4,64,4.568964475803135e42,2.678806076798777e43,26.911412256
basis,controlled_filon,1,4,128,4.568964475803135e42,2.678806076798777e43,45.862972341
basis,controlled_filon,1,4,256,5.8565508623993916e25,3.4349028486653076e26,107.530280587
basis,controlled_filon,1,4,512,5.8565508623993916e25,3.4349028486653076e26,184.235639617
basis,controlled_filon,1,4,1024,0.00015291916893840496,0.005270618534577315,81.167328081
basis,controlled_filon,1,4,2048,5.05707164374113e-6,8.407418789266335e-5,84.94463374
basis,controlled_filon,1,4,4096,3.0122620542810644e-7,5.002909284029456e-6,123.176642449
basis,controlled_filon,1,4,8192,1.8615172045719427e-8,3.091315930589295e-7,208.827737081
basis,controlled_filon,1,4,16384,1.1641401330187028e-9,1.932443005307068e-8,330.445349515
basis,controlled_filon,1,4,32768,2.197270888437001e-10,3.384535217769539e-9,519.148645622
basis,controlled_filon,1,4,65536,3.216859147895485e-10,5.045668106371906e-9,891.529058917
basis,controlled_filon,1,4,131072,6.448299999720521e-10,9.200082980969047e-9,1561.510595838
basis,controlled_filon,2,6,16,,,14.541270242
basis,controlled_filon,2,6,32,4.441138301567933e15,2.621583229424422e16,29.270484463
basis,controlled_filon,2,6,64,4.4415957990596205e15,2.6218544660970108e16,56.125197232
basis,controlled_filon,2,6,128,6.96476356422451e25,4.083920299038818e26,107.884395657
basis,controlled_filon,2,6,256,7.264423429373694e25,4.259534895470404e26,211.585734256
basis,controlled_filon,2,6,512,5.200111653467761e24,3.049834160620813e25,238.527397503
basis,controlled_filon,2,6,1024,1.5027331207791309e-6,3.4972340002753054e-5,144.380837532
basis,controlled_filon,2,6,2048,1.2896672252954026e-8,2.561606488804095e-7,154.403842664
basis,controlled_filon,2,6,4096,1.8228795042570247e-10,3.5236435380290814e-9,218.46739313
basis,controlled_filon,2,6,8192,5.557445370026448e-12,9.287390560058837e-11,404.791148813
basis,controlled_filon,2,6,16384,2.2587777923740726e-11,3.4553093981812397e-10,660.856824212
basis,controlled_filon,2,6,32768,4.8748410347923746e-11,7.493973119626797e-10,1048.53975428
basis,filon,0,2,16,,,1.624094603
basis,filon,0,2,32,2745.8000381814923,28630.565684314482,3.149644308
basis,filon,0,2,64,3133.1686439143455,24255.74582128151,6.024853964
basis,filon,0,2,128,4597.980874170796,30706.954192449255,11.930154313
basis,filon,0,2,256,3.9165383106624446e9,3.241759194327774e10,24.753871471
basis,filon,0,2,512,3.9165378287268167e9,3.241758874713238e10,50.848188181
basis,filon,0,2,1024,0.21132747159716544,3.406032009633663,17.053163674
basis,filon,0,2,2048,0.05809306647373186,0.9134856364068238,17.321437764
basis,filon,0,2,4096,0.014830748383111643,0.23203595371497907,24.77442688
basis,filon,0,2,8192,0.0037263403322335413,0.05823264792640346,50.284012815
basis,filon,0,2,16384,0.0009327411109407011,0.014572048339452637,88.34918153
basis,filon,0,2,32768,0.00023325738959692696,0.003643878740999138,156.204557437
basis,filon,0,2,65536,5.8318835419267374e-5,0.0009110234837778928,254.412893671
basis,filon,0,2,131072,1.4580006853422777e-5,0.00022775959438307272,442.42022391
basis,filon,0,2,262144,3.6448827615396537e-6,5.6936359668737655e-5,750.415973962
basis,filon,1,4,16,,,5.805511893
basis,filon,1,4,32,6.9947402082016616e16,4.886758774089835e17,11.200610139
basis,filon,1,4,64,2.7457334888639386e41,1.6098451255279015e42,21.378221811
basis,filon,1,4,128,2.7457334888639386e41,1.6098451255279015e42,38.935095224
basis,filon,1,4,256,7.954792079263336e25,4.665479792011971e26,85.550175369
basis,filon,1,4,512,7.954792079263336e25,4.66547979201197e26,139.001667083
basis,filon,1,4,1024,0.002369986936040047,0.03729190085937383,58.759048525
